Extracted features not found, loading raw features.
Iteration 64: Grad norm bound = 0.000075, time = 0.01s
Iteration 65: Grad norm bound = 0.000067, time = 0.01s
Iteration 66: Grad norm bound = 0.000054, time = 0.01s
Iteration 67: Grad norm bound = 0.000066, time = 0.01s
Iteration 68: Grad norm bound = 0.000062, time = 0.01s
Iteration 69: Grad norm bound = 0.000069, time = 0.01s
Iteration 70: Grad norm bound = 0.000053, time = 0.01s
Iteration 71: Grad norm bound = 0.000079, time = 0.01s
Iteration 72: Grad norm bound = 0.000059, time = 0.01s
Iteration 73: Grad norm bound = 0.000066, time = 0.01s
Iteration 74: Grad norm bound = 0.000050, time = 0.01s
Iteration 75: Grad norm bound = 0.000057, time = 0.01s
Iteration 76: Grad norm bound = 0.000062, time = 0.01s
Iteration 77: Grad norm bound = 0.000065, time = 0.01s
Iteration 78: Grad norm bound = 0.000059, time = 0.01s
Iteration 79: Grad norm bound = 0.000065, time = 0.01s
Iteration 80: Grad norm bound = 0.000057, time = 0.01s
Iteration 81: Grad norm bound = 0.000052, time = 0.01s
Iteration 82: Grad norm bound = 0.000075, time = 0.01s
Iteration 83: Grad norm bound = 0.000063, time = 0.01s
Iteration 84: Grad norm bound = 0.000062, time = 0.01s
Iteration 85: Grad norm bound = 0.000054, time = 0.01s
Iteration 86: Grad norm bound = 0.000064, time = 0.01s
Iteration 87: Grad norm bound = 0.000073, time = 0.01s
Iteration 88: Grad norm bound = 0.000064, time = 0.01s
Iteration 89: Grad norm bound = 0.000080, time = 0.01s
Iteration 90: Grad norm bound = 0.000063, time = 0.01s
Iteration 91: Grad norm bound = 0.000063, time = 0.01s
Iteration 92: Grad norm bound = 0.000056, time = 0.01s
Iteration 93: Grad norm bound = 0.000062, time = 0.01s
Iteration 94: Grad norm bound = 0.000058, time = 0.01s
Iteration 95: Grad norm bound = 0.000052, time = 0.01s
Iteration 96: Grad norm bound = 0.000065, time = 0.01s
Iteration 97: Grad norm bound = 0.000063, time = 0.01s
Iteration 98: Grad norm bound = 0.000055, time = 0.01s
Iteration 99: Grad norm bound = 0.000061, time = 0.01s
Iteration 100: Grad norm bound = 0.000061, time = 0.01s
Iteration 101: Grad norm bound = 0.000058, time = 0.01s
Iteration 102: Grad norm bound = 0.000069, time = 0.01s
Iteration 103: Grad norm bound = 0.000067, time = 0.01s
Iteration 104: Grad norm bound = 0.000053, time = 0.01s
Iteration 105: Grad norm bound = 0.000068, time = 0.01s
Iteration 106: Grad norm bound = 0.000068, time = 0.01s
Iteration 107: Grad norm bound = 0.000072, time = 0.01s
Iteration 108: Grad norm bound = 0.000065, time = 0.01s
Iteration 109: Grad norm bound = 0.000056, time = 0.01s
Iteration 110: Grad norm bound = 0.000066, time = 0.01s
Iteration 111: Grad norm bound = 0.000076, time = 0.01s
Iteration 112: Grad norm bound = 0.000062, time = 0.01s
Iteration 113: Grad norm bound = 0.000058, time = 0.01s
Iteration 114: Grad norm bound = 0.000058, time = 0.01s
Iteration 115: Grad norm bound = 0.000061, time = 0.01s
Iteration 116: Grad norm bound = 0.000066, time = 0.01s
Iteration 117: Grad norm bound = 0.000062, time = 0.01s
Iteration 118: Grad norm bound = 0.000056, time = 0.01s
Iteration 119: Grad norm bound = 0.000060, time = 0.01s
Iteration 120: Grad norm bound = 0.000077, time = 0.01s
Iteration 121: Grad norm bound = 0.000065, time = 0.01s
Iteration 122: Grad norm bound = 0.000051, time = 0.01s
Iteration 123: Grad norm bound = 0.000061, time = 0.01s
Iteration 124: Grad norm bound = 0.000060, time = 0.01s
